Date, Open, High, Low, Close
07/07/22, 522.60, 540.94, 540.94, 540.94
07/06/22, 531.86, 522.60, 522.60, 522.60
07/05/22, 554.10, 531.86, 531.86, 531.86
07/01/22, 546.24, 554.10, 554.10, 554.10
06/30/22, 557.60, 546.24, 546.24, 546.24
06/29/22, 577.42, 557.60, 557.60, 557.60
06/28/22, 562.24, 577.42, 577.42, 577.42
06/27/22, 547.02, 562.24, 562.24, 562.24
06/24/22, 538.75, 547.02, 547.02, 547.02
06/23/22, 559.71, 538.75, 538.75, 538.75
06/22/22, 584.19, 559.71, 559.71, 559.71
06/21/22, 555.65, 584.19, 584.19, 584.19
06/17/22, 588.41, 555.65, 555.65, 555.65
06/16/22, 623.21, 588.41, 588.41, 588.41
06/15/22, 636.74, 623.21, 623.21, 623.21
06/14/22, 636.32, 636.74, 636.74, 636.74
06/13/22, 670.72, 636.32, 636.32, 636.32
06/10/22, 682.35, 670.72, 670.72, 670.72
06/09/22, 698.43, 682.35, 682.35, 682.35
06/08/22, 697.38, 698.43, 698.43, 698.43
06/07/22, 676.16, 697.38, 697.38, 697.38
06/06/22, 676.93, 676.16, 676.16, 676.16
06/03/22, 667.60, 676.93, 676.93, 676.93
06/02/22, 669.60, 667.60, 667.60, 667.60
06/01/22, 658.00, 669.60, 669.60, 669.60
05/31/22, 669.03, 658.00, 658.00, 658.00
05/27/22, 658.06, 669.03, 669.03, 669.03
05/26/22, 650.62, 658.06, 658.06, 658.06
05/25/22, 638.09, 650.62, 650.62, 650.62
05/24/22, 635.51, 638.09, 638.09, 638.09
05/23/22, 618.93, 635.51, 635.51, 635.51
05/20/22, 616.28, 618.93, 618.93, 618.93
05/19/22, 618.02, 616.28, 616.28, 616.28
05/18/22, 635.50, 618.02, 618.02, 618.02
05/17/22, 628.31, 635.50, 635.50, 635.50
05/16/22, 612.25, 628.31, 628.31, 628.31
05/13/22, 592.21, 612.25, 612.25, 612.25
05/12/22, 591.63, 592.21, 592.21, 592.21
05/11/22, 583.66, 591.63, 591.63, 591.63
05/10/22, 578.26, 583.66, 583.66, 583.66
05/09/22, 630.62, 578.26, 578.26, 578.26
05/06/22, 612.77, 630.62, 630.62, 630.62
05/05/22, 621.43, 612.77, 612.77, 612.77
05/04/22, 596.87, 621.43, 621.43, 621.43
05/03/22, 580.24, 596.87, 596.87, 596.87
05/02/22, 572.41, 580.24, 580.24, 580.24
04/29/22, 586.92, 572.41, 572.41, 572.41
04/28/22, 569.08, 586.92, 586.92, 586.92
04/27/22, 560.78, 569.08, 569.08, 569.08
04/26/22, 560.53, 560.78, 560.78, 560.78
04/25/22, 579.90, 560.53, 560.53, 560.53
04/22/22, 594.35, 579.90, 579.90, 579.90
04/21/22, 613.39, 594.35, 594.35, 594.35
04/20/22, 610.86, 613.39, 613.39, 613.39
04/19/22, 616.80, 610.86, 610.86, 610.86
04/18/22, 607.63, 616.80, 616.80, 616.80
04/14/22, 605.12, 607.63, 607.63, 607.63
04/13/22, 597.00, 605.12, 605.12, 605.12
04/12/22, 586.88, 597.00, 597.00, 597.00
04/11/22, 605.71, 586.88, 586.88, 586.88
04/08/22, 589.46, 605.71, 605.71, 605.71
04/07/22, 581.57, 589.46, 589.46, 589.46
04/06/22, 578.43, 581.57, 581.57, 581.57
04/05/22, 587.29, 578.43, 578.43, 578.43
04/04/22, 586.89, 587.29, 587.29, 587.29
04/01/22, 581.93, 586.89, 586.89, 586.89
03/31/22, 590.15, 581.93, 581.93, 581.93
03/30/22, 583.32, 590.15, 590.15, 590.15
03/29/22, 585.92, 583.32, 583.32, 583.32
03/28/22, 601.34, 585.92, 585.92, 585.92
03/25/22, 587.95, 601.34, 601.34, 601.34
03/24/22, 587.20, 587.95, 587.95, 587.95
03/23/22, 577.16, 587.20, 587.20, 587.20
03/22/22, 581.00, 577.16, 577.16, 577.16
03/21/22, 559.78, 581.00, 581.00, 581.00
03/18/22, 559.27, 559.78, 559.78, 559.78
03/17/22, 540.44, 559.27, 559.27, 559.27
03/16/22, 542.77, 540.44, 540.44, 540.44
03/15/22, 563.77, 542.77, 542.77, 542.77
03/14/22, 580.55, 563.77, 563.77, 563.77
03/11/22, 585.53, 580.55, 580.55, 580.55
03/10/22, 568.10, 585.53, 585.53, 585.53
03/09/22, 586.75, 568.11, 568.11, 568.10
03/08/22, 578.73, 586.75, 586.75, 586.75
03/07/22, 569.81, 578.73, 578.73, 578.73
03/04/22, 554.00, 569.81, 569.81, 569.81
03/03/22, 552.49, 554.00, 554.00, 554.00
03/02/22, 540.47, 552.49, 552.49, 552.49
03/01/22, 534.95, 540.47, 540.47, 540.47
02/28/22, 521.54, 534.95, 534.95, 534.95
02/25/22, 507.64, 521.54, 521.54, 521.54
02/24/22, 512.09, 507.64, 507.64, 507.64
02/23/22, 506.95, 512.09, 512.09, 512.09
02/22/22, 514.82, 506.95, 506.95, 506.95
02/18/22, 518.90, 514.82, 514.82, 514.82
02/17/22, 519.34, 518.90, 518.90, 518.90
02/16/22, 515.42, 519.34, 519.34, 519.34
02/15/22, 522.66, 515.42, 515.42, 515.42
02/14/22, 534.65, 522.66, 522.66, 522.66
02/11/22, 520.12, 534.65, 534.65, 534.65
02/10/22, 523.67, 520.12, 520.12, 520.12
02/09/22, 521.01, 523.67, 523.67, 523.67
02/08/22, 532.31, 521.01, 521.01, 521.01
02/07/22, 525.45, 532.31, 532.31, 532.31
02/04/22, 517.29, 525.45, 525.45, 525.45
02/03/22, 522.72, 517.29, 517.29, 517.29
02/02/22, 520.75, 522.72, 522.72, 522.72
02/01/22, 502.93, 520.75, 520.75, 520.75
01/31/22, 500.72, 502.93, 502.93, 502.93
01/28/22, 503.75, 500.72, 500.72, 500.72
01/27/22, 497.56, 503.75, 503.75, 503.75
01/26/22, 498.42, 497.56, 497.56, 497.56
01/25/22, 479.43, 498.42, 498.42, 498.42
01/24/22, 476.81, 479.43, 479.43, 479.43
01/21/22, 486.31, 476.81, 476.81, 476.81
01/20/22, 490.72, 486.31, 486.31, 486.31
01/19/22, 493.97, 490.72, 490.72, 490.72
01/18/22, 491.98, 493.97, 493.97, 493.97
01/14/22, 480.24, 491.98, 491.98, 491.98
01/13/22, 483.15, 480.24, 480.24, 480.24
01/12/22, 482.24, 483.15, 483.15, 483.15
01/11/22, 466.32, 482.24, 482.24, 482.24
01/10/22, 467.58, 466.32, 466.32, 466.32
01/07/22, 460.89, 467.58, 467.58, 467.58
01/06/22, 450.57, 460.89, 460.89, 460.89
01/05/22, 450.90, 450.57, 450.57, 450.57
01/04/22, 435.83, 450.90, 450.90, 450.90
01/03/22, 422.74, 435.83, 435.83, 435.83
12/31/21, 421.68, 422.74, 422.74, 422.74
12/30/21, 424.55, 421.68, 421.68, 421.68
12/29/21, 427.25, 424.55, 424.55, 424.55
12/28/21, 427.74, 427.25, 427.25, 427.25
12/27/21, 418.37, 427.74, 427.74, 427.74
12/23/21, 417.96, 418.37, 418.37, 418.37
12/22/21, 415.57, 417.96, 417.96, 417.96
12/21/21, 403.90, 415.57, 415.57, 415.57
12/20/21, 408.68, 403.90, 403.90, 403.90
12/17/21, 418.06, 408.68, 408.68, 408.68
12/16/21, 415.33, 418.06, 418.06, 418.06
12/15/21, 417.09, 415.33, 415.33, 415.33
12/14/21, 418.67, 417.09, 417.09, 417.09
12/13/21, 430.61, 418.67, 418.67, 418.67
12/10/21, 427.37, 430.61, 430.61, 430.61
12/09/21, 431.28, 427.37, 427.37, 427.37
12/08/21, 431.24, 431.28, 431.28, 431.28
12/07/21, 421.64, 431.24, 431.24, 431.24
12/06/21, 415.28, 421.64, 421.64, 421.64
12/03/21, 418.41, 415.28, 415.28, 415.28
12/02/21, 406.82, 418.41, 418.41, 418.41
12/01/21, 410.70, 406.82, 406.82, 406.82
11/30/21, 421.22, 410.70, 410.70, 410.70
11/29/21, 418.74, 421.22, 421.22, 421.22
11/26/21, 436.37, 418.74, 418.74, 418.74
11/24/21, 432.14, 436.37, 436.37, 436.37
